registry,num,table_no,row_no,title,folder,original_url,target_dir
Реестр_документов_Этап_11_Линейные_объекты_и_благоустройство_v1.4_исчерпывающий.docx,344,22,28,ГОСТ 34614.10-2019 «Оборудование и покрытия игровых площадок. Часть 10. Дополнительные требования безопасности и методы испытаний для полностью закрытого игрового оборудования»,03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\17_ДЕТСКИЕ_И_СПОРТИВНЫЕ_ПЛОЩАДКИ,https://protect.gost.ru/default.aspx/document1.aspx?baseC=6&control=31&id=236780&month=1&page=0&search=&year=2020,1Рабочие материалы\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\17_ДЕТСКИЕ_И_СПОРТИВНЫЕ_ПЛОЩАДКИ
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,20,5,10,"О внесении изменений в Порядок разработки, утверждения, изменения и отмены сводов правил
Приказ Минстроя России от 29.05.2024 № 356/пр",05_БАЗА_ЗНАНИЙ\01_ЗАКОНОДАТЕЛЬСТВО\04_ПРИКАЗЫ_МИНСТРОЯ\Стандартизация\Своды_правил\Изменения,https://minstroyrf.gov.ru/docs/,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\01_ЗАКОНОДАТЕЛЬСТВО\04_ПРИКАЗЫ_МИНСТРОЯ\Стандартизация\Своды_правил\Изменения
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,102,14,5,"ГОСТ 24846-2019 Грунты. Методы измерения деформаций оснований зданий и сооружений
Межгосударственный стандарт",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\02_ГОСТ\Геодезия,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%2024846-2019,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\02_ГОСТ\Геодезия
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,107,16,3,"ГОСТ 31937-2011 Здания и сооружения. Правила обследования и мониторинга технического состояния
Межгосударственный стандарт",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Обследование,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%2031937-2011,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Обследование
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,125,18,2,"СНиП 12-01-2004 Организация строительства
Постановление Госстроя России от 19.04.2004 № 70",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\04_СНИП_ИСТОРИЧЕСКИЕ\Организация_строительства,https://protect.gost.ru/search?search=%D0%A1%D0%9D%D0%B8%D0%9F%2012-01-2004,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\04_СНИП_ИСТОРИЧЕСКИЕ\Организация_строительства
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,126,18,3,"СП 48.13330.2011 Организация строительства
Приказ Минрегиона России от 27.12.2010 № 781",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Организация_строительства,https://protect.gost.ru/search?search=%D0%A1%D0%9F%2048.13330.2011,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Организация_строительства
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,127,18,4,"ГОСТ Р 21.1101-2013 Основные требования к проектной и рабочей документации
Приказ Росстандарта от 11.06.2013 № 156-ст",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Проектная_документация,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%20%D0%A0%2021.1101-2013,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Проектная_документация
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,128,18,5,"ГОСТ Р 51872-2002 Документация исполнительная геодезическая. Правила выполнения
Национальный стандарт",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Геодезия,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%20%D0%A0%2051872-2002,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Геодезия
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,140,18,17,"Порядок разработки, утверждения, изменения и отмены сводов правил
Приказ Минстроя России от 02.08.2016 № 536/пр",05_БАЗА_ЗНАНИЙ\01_ЗАКОНОДАТЕЛЬСТВО\99_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ\Минстрой\Стандартизация,https://minstroyrf.gov.ru/docs/,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\01_ЗАКОНОДАТЕЛЬСТВО\99_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ\Минстрой\Стандартизация
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,141,18,18,"Добровольный перечень к Федеральному закону № 384-ФЗ
Приказ Росстандарта от 30.03.2015 № 365",05_БАЗА_ЗНАНИЙ\02_ОБЯЗАТЕЛЬНЫЕ_ТЕХНИЧЕСКИЕ_ТРЕБОВАНИЯ\03_ПЕРЕЧНИ_СТАНДАРТОВ_И_СВОДОВ_ПРАВИЛ\Исторические,https://www.rst.gov.ru/portal/gost/home/standarts/technicalregulationses,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\02_ОБЯЗАТЕЛЬНЫЕ_ТЕХНИЧЕСКИЕ_ТРЕБОВАНИЯ\03_ПЕРЕЧНИ_СТАНДАРТОВ_И_СВОДОВ_ПРАВИЛ\Исторические
